name,AP(rel=2),RR(rel=2),nDCG@10,AP(rel=2) +,AP(rel=2) -,AP(rel=2) p-value,RR(rel=2) +,RR(rel=2) -,RR(rel=2) p-value,nDCG@10 +,nDCG@10 -,nDCG@10 p-value
TCT-ColBERT,0.43,0.843,0.685,,,,,,,,,
GAR,0.44,0.833,0.696,19.0,19.0,0.6124122943343444,0.0,4.0,0.13292397718481141,11.0,8.0,0.5060497999159544
GAR+GCN,0.427,0.816,0.698,22.0,20.0,0.9029856436823156,3.0,8.0,0.48574184850005864,25.0,17.0,0.6322768656885398
GAR+GraphSAGE,0.431,0.815,0.697,19.0,22.0,0.9746539560820013,4.0,9.0,0.5196369448702354,21.0,20.0,0.508443959133497
GAR+GAT,0.444,0.833,0.705,22.0,19.0,0.48082119840615234,4.0,6.0,0.7660570227782103,26.0,16.0,0.25351898373343507
GAR+GIN,0.429,0.79,0.676,24.0,18.0,0.9751638658469327,3.0,7.0,0.18463193077645107,28.0,14.0,0.7851324089190395
GAR+SignedConv,0.419,0.844,0.686,18.0,24.0,0.5712832286808827,4.0,6.0,0.9786438301380521,18.0,23.0,0.9407733929897686
