name,nDCG@10,AP(rel=2),RR(rel=2),nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP(rel=2) +,AP(rel=2) -,AP(rel=2) p-value,AP(rel=2) reject,AP(rel=2) p-value corrected,RR(rel=2) +,RR(rel=2) -,RR(rel=2) p-value,RR(rel=2) reject,RR(rel=2) p-value corrected
TCT-ColBERT,0.685,0.43,0.843,,,,False,,,,,False,,,,,False,
+Self-Attention,0.686,0.431,0.844,13.0,15.0,0.7906919060183715,False,1.0,23.0,16.0,0.7076749957446582,False,1.0,3.0,2.0,0.9241719122541413,False,1.0
+GCN,0.68,0.434,0.826,21.0,17.0,0.6727673176122055,False,1.0,16.0,22.0,0.5983005583691141,False,1.0,5.0,6.0,0.6333808804475601,False,1.0
+GraphSAGE,0.689,0.434,0.85,23.0,17.0,0.7321235261901864,False,1.0,19.0,19.0,0.6239711833016314,False,1.0,6.0,4.0,0.8408210401809042,False,1.0
+GAT,0.031,0.043,0.041,0.0,42.0,9.450359811511275e-20,True,6.615251868057892e-19,0.0,41.0,1.7156168063825075e-12,True,1.2009317644677553e-11,0.0,41.0,6.12551587577474e-19,True,4.287861113042318e-18
+GIN,0.691,0.449,0.853,21.0,18.0,0.7360050492114029,False,1.0,22.0,17.0,0.11702543219451166,False,0.8191780253615816,5.0,6.0,0.8219722221483765,False,1.0
+SignedConv,0.682,0.429,0.834,22.0,18.0,0.7988817199077956,False,1.0,19.0,20.0,0.9324725538725133,False,1.0,6.0,4.0,0.7740393506986625,False,1.0
