name,nDCG@10,AP(rel=2),RR(rel=2),nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP(rel=2) +,AP(rel=2) -,AP(rel=2) p-value,AP(rel=2) reject,AP(rel=2) p-value corrected,RR(rel=2) +,RR(rel=2) -,RR(rel=2) p-value,RR(rel=2) reject,RR(rel=2) p-value corrected
TCT-ColBERT,0.373,0.23,0.538,,,,False,,,,,False,,,,,False,
+Self-Attention,0.368,0.222,0.529,14.0,14.0,0.3721646300877204,False,1.0,16.0,24.0,0.12769494563584663,False,0.8938646194509264,7.0,10.0,0.38611419496754307,False,1.0
+GCN,0.349,0.219,0.497,17.0,19.0,0.14123381765670917,False,0.9886367235969642,18.0,26.0,0.3602715878316256,False,1.0,10.0,18.0,0.18092295357542487,False,1.0
+GraphSAGE,0.379,0.223,0.531,23.0,15.0,0.7768915043944333,False,1.0,22.0,23.0,0.5814921499833671,False,1.0,13.0,14.0,0.844189869712447,False,1.0
+GAT,0.376,0.219,0.542,20.0,19.0,0.8874233100147829,False,1.0,24.0,22.0,0.5384022689085397,False,1.0,12.0,14.0,0.922379794794267,False,1.0
+GIN,0.357,0.215,0.49,18.0,19.0,0.49636879824390545,False,1.0,25.0,21.0,0.3879760058817381,False,1.0,11.0,15.0,0.22211067961030995,False,1.0
+SignedConv,0.361,0.215,0.509,21.0,15.0,0.5492848123982861,False,1.0,20.0,25.0,0.27782661475200315,False,1.0,14.0,14.0,0.41306135632913465,False,1.0
