name,AP(rel=2),RR(rel=2),nDCG@10,AP(rel=2) +,AP(rel=2) -,AP(rel=2) p-value,RR(rel=2) +,RR(rel=2) -,RR(rel=2) p-value,nDCG@10 +,nDCG@10 -,nDCG@10 p-value
TCT-ColBERT,0.453,0.817,0.68,,,,,,,,,
GAR,0.447,0.815,0.68,13.0,38.0,0.6169082980887454,0.0,2.0,0.22806099956433584,11.0,15.0,0.9859980953044887
GAR+GCN,0.443,0.804,0.666,17.0,36.0,0.5145288798191862,6.0,13.0,0.7333345318326214,19.0,29.0,0.36837210618652727
GAR+GraphSAGE,0.432,0.79,0.664,17.0,36.0,0.24224281322016736,6.0,10.0,0.41458215140659727,26.0,26.0,0.3082118831162952
GAR+GAT,0.458,0.808,0.681,20.0,33.0,0.7946218002226939,7.0,10.0,0.7783123265389309,25.0,26.0,0.9370144843542714
GAR+GIN,0.421,0.777,0.616,20.0,33.0,0.09303638980089904,6.0,12.0,0.32301556605355863,19.0,32.0,0.014065239657486626
GAR+SignedConv,0.413,0.787,0.654,16.0,38.0,0.06790882611552476,5.0,10.0,0.32492171931888025,21.0,32.0,0.1551750013668734
