name,nDCG@10,AP(rel=2),RR(rel=2),nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@10 reject,nDCG@10 p-value corrected,AP(rel=2) +,AP(rel=2) -,AP(rel=2) p-value,AP(rel=2) reject,AP(rel=2) p-value corrected,RR(rel=2) +,RR(rel=2) -,RR(rel=2) p-value,RR(rel=2) reject,RR(rel=2) p-value corrected
TCT-ColBERT,0.68,0.453,0.817,,,,False,,,,,False,,,,,False,
+Self-Attention,0.684,0.454,0.827,31.0,14.0,0.2171005177071997,False,1.0,34.0,16.0,0.8407701486483703,False,1.0,5.0,2.0,0.30691936379676277,False,1.0
+GCN,0.671,0.446,0.812,23.0,28.0,0.40103148545046374,False,1.0,27.0,26.0,0.4493134669432418,False,1.0,6.0,6.0,0.844683786882364,False,1.0
+GraphSAGE,0.685,0.454,0.837,31.0,20.0,0.6743723211009005,False,1.0,26.0,25.0,0.9734882249561958,False,1.0,7.0,6.0,0.35365940818204333,False,1.0
+GAT,0.013,0.024,0.023,0.0,52.0,3.674914374018304e-28,True,2.5724400618128128e-27,0.0,54.0,3.288905751841587e-16,True,2.3022340262891107e-15,0.0,54.0,1.0285522653021017e-25,True,7.199865857114712e-25
+GIN,0.675,0.455,0.793,21.0,29.0,0.7766710304048128,False,1.0,25.0,28.0,0.8994633262043995,False,1.0,5.0,11.0,0.46437677562434954,False,1.0
+SignedConv,0.673,0.442,0.813,29.0,22.0,0.5867725802509866,False,1.0,27.0,26.0,0.2562166743194626,False,1.0,7.0,8.0,0.8923688989707146,False,1.0
