name AP(rel=2) RR(rel=2) P(rel=2)@3 R(rel=2)@1000 nDCG@10 "AP(rel=2) +" "AP(rel=2) -" "AP(rel=2) p-value" "RR(rel=2) +" "RR(rel=2) -" "RR(rel=2) p-value" "P(rel=2)@3 +" "P(rel=2)@3 -" "P(rel=2)@3 p-value" "R(rel=2)@1000 +" "R(rel=2)@1000 -" "R(rel=2)@1000 p-value" "nDCG@10 +" "nDCG@10 -" "nDCG@10 p-value"
bm25 0.14710625933687793 0.42200272685004075 0.24 0.6865570444393828 0.27433268930191845 16.0 31.0 0.014273328903240578 11.0 24.0 0.08901831585455555 8.0 20.0 0.02276394215975712 0.0 0.0  16.0 26.0 0.013622215645240856
TCTColBert 0.23002913445087977 0.5382994352485515 0.3533333333333333 0.6865570444393828 0.3731565151323227               
" +GCN" 0.2421982254886001 0.5587131858694587 0.3666666666666667 0.6865570444393828 0.3863415073831934 25.0 19.0 0.2596450321195016 11.0 11.0 0.4949767949980808 7.0 7.0 0.6592794622321214 0.0 0.0  16.0 18.0 0.37271290911683563
