name,AP (mean),AP Δ,AP p,AP sig,nDCG (mean),nDCG Δ,nDCG p,nDCG sig,RR (mean),RR Δ,RR p,RR sig
TCT-ColBERT,0.23,,,,0.373,,,,0.538,,,
+Self-Attention,0.222,-0.0075,1.0,,0.368,-0.0054,1.0,,0.529,-0.0093,1.0,
+GCN,0.242,0.0122,0.1298,,0.386,0.0132,0.1859,,0.559,0.0204,0.2475,
+GraphSAGE,0.223,-0.007,1.0,,0.379,0.0058,0.3884,,0.531,-0.007,1.0,
+GAT,0.219,-0.0112,1.0,,0.376,0.003,0.4437,,0.542,0.0035,0.4612,
+GIN,0.215,-0.0151,1.0,,0.357,-0.0157,1.0,,0.49,-0.048,1.0,
+SignedConv,0.216,-0.0137,1.0,,0.367,-0.0063,1.0,,0.508,-0.0303,1.0,
