name,AP (mean),AP Δ,AP p,AP sig,nDCG (mean),nDCG Δ,nDCG p,nDCG sig,RR (mean),RR Δ,RR p,RR sig
TCT-ColBERT,0.23,,,,0.373,,,,0.538,,,
GAR,0.233,0.0032,0.3909,,0.373,-0.0003,1.0,,0.532,-0.0066,1.0,
GAR+GCN,0.219,-0.0111,1.0,,0.357,-0.0165,1.0,,0.503,-0.0354,1.0,
GAR+GraphSAGE,0.22,-0.0103,1.0,,0.356,-0.0168,1.0,,0.501,-0.0377,1.0,
GAR+GAT,0.229,-0.0011,1.0,,0.368,-0.0047,1.0,,0.495,-0.0433,1.0,
GAR+GIN,0.2,-0.0305,1.0,,0.325,-0.0485,1.0,,0.456,-0.082,1.0,
GAR+SignedConv,0.212,-0.0183,1.0,,0.348,-0.0254,1.0,,0.498,-0.0407,1.0,
