name,AP (mean),AP Δ,AP p,AP sig,nDCG (mean),nDCG Δ,nDCG p,nDCG sig,RR (mean),RR Δ,RR p,RR sig
TCT-ColBERT,0.453,,,,0.68,,,,0.817,,,
+Self-Attention,0.454,0.0004,0.4204,,0.684,0.0043,0.1086,,0.827,0.0107,0.1535,
+GCN,0.47,0.0168,0.0093,*,0.695,0.0155,0.0937,†,0.84,0.0233,0.2103,
+GraphSAGE,0.454,0.0003,0.4867,,0.685,0.0057,0.3372,,0.837,0.0206,0.1768,
+GAT,0.453,-0.0001,1.0,,0.682,0.0019,0.4484,,0.826,0.0088,0.3823,
+GIN,0.455,0.0014,0.4497,,0.675,-0.0051,1.0,,0.793,-0.0241,1.0,
+SignedConv,0.441,-0.0123,1.0,,0.665,-0.0149,1.0,,0.795,-0.0221,1.0,
