name,AP (mean),AP Δ,AP p,AP sig,nDCG (mean),nDCG Δ,nDCG p,nDCG sig,RR (mean),RR Δ,RR p,RR sig
TCT-ColBERT,0.43,,,,0.685,,,,0.843,,,
GAR,0.44,0.0099,0.3062,,0.696,0.0107,0.253,,0.833,-0.0094,1.0,
GAR+GCN,0.427,-0.0034,1.0,,0.698,0.0131,0.3161,,0.816,-0.0272,1.0,
GAR+GraphSAGE,0.431,0.0006,0.4873,,0.697,0.0118,0.2542,,0.815,-0.0274,1.0,
GAR+GAT,0.444,0.0135,0.2404,,0.705,0.0198,0.1268,,0.833,-0.0098,1.0,
GAR+GIN,0.429,-0.001,1.0,,0.676,-0.0092,1.0,,0.79,-0.0527,1.0,
GAR+SignedConv,0.419,-0.011,1.0,,0.686,0.0013,0.4704,,0.844,0.001,0.4893,
