name,AP (mean),AP Δ,AP p,AP sig,nDCG (mean),nDCG Δ,nDCG p,nDCG sig,RR (mean),RR Δ,RR p,RR sig
TCT-ColBERT,0.43,,,,0.685,,,,0.843,,,
+Self-Attention,0.431,0.001,0.3538,,0.686,0.0013,0.3953,,0.844,0.0016,0.4621,
+GCN,0.455,0.0247,0.0063,*,0.702,0.0171,0.0789,†,0.858,0.0152,0.3175,
+GraphSAGE,0.434,0.0039,0.312,,0.689,0.0044,0.3661,,0.85,0.0068,0.4204,
+GAT,0.441,0.0115,0.1466,,0.69,0.0056,0.361,,0.852,0.0087,0.4114,
+GIN,0.449,0.0188,0.0585,†,0.691,0.006,0.368,,0.853,0.0102,0.411,
+SignedConv,0.427,-0.0027,1.0,,0.68,-0.0052,1.0,,0.817,-0.0255,1.0,
